,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size,region
907F100,Fermented pork (Som),Per 100 g,148.0,23.1,5.1,2.3,0.0,0.0,100,TH
908F161,"Sausage, pork, deep-fried",Per 100 g,272.0,12.7,20.7,8.3,1.0,680.0,100,TH
909F56,"Pork, sausage, northern style, packed in intestine",Per 100 g,364.0,18.4,29.3,6.4,0.0,668.0,100,TH
90B21,"Crackers, shrimp, raw",Per 100 g,351.0,6.7,0.6,79.7,0.0,696.0,100,TH
910F66,"Fermented beef (Nhan), southern style",Per 100 g,139.0,18.5,6.3,1.9,0.0,0.0,100,TH
911F67,"Fermented pork (Nhan), southern style",Per 100 g,176.0,3.3,15.4,6.0,0.0,0.0,100,TH
912F68,"Fermented pork sausage (Mum), northeast style",Per 100 g,207.0,25.3,9.9,4.1,0.0,0.0,100,TH
913F163,"Pork, marinated, roasted",Per 100 g,335.0,24.3,23.7,6.2,0.0,257.0,100,TH
914F164,"Pork, pounded, jerky",Per 100 g,360.0,48.0,5.1,30.5,0.0,1.1,100,TH
915F165,"Pork, sliced sheets, dried, crispy",Per 100 g,419.0,36.4,11.2,42.9,0.0,1.5,100,TH
916F98,"Pork, sausage, white, steamed",Per 100 g,293.0,14.8,24.6,2.8,0.0,757.0,100,TH
917F166,"Pork, jerky",Per 100 g,380.0,34.0,7.6,43.8,0.0,1.3,100,TH
918F99,"Pork, shreded, Chinese-style",Per 100 g,381.0,38.5,5.3,44.7,0.0,1.7,100,TH
919F53,Fermented beef (Nham),Per 100 g,117.0,17.4,3.8,3.2,0.0,0.0,100,TH
91B22,"Crackers, shrimp, fried",Per 100 g,485.0,6.8,21.3,65.4,1.6,760.0,100,TH
920F54,Fermented pork (Nham),Per 100 g,115.0,19.0,2.6,3.9,0.0,990.0,100,TH
921F166,"Fermented pork (Nham), industry brand",Per 100 g,111.0,18.3,2.5,3.6,0.0,990.0,100,TH
922F27,"Ham, chicken, smoked",Per 100 g,192.0,27.9,8.6,0.6,0.0,0.0,100,TH
923F82,"Ham, pork, raw",Per 100 g,126.0,20.9,4.7,0.1,0.0,52.0,100,TH
924F83,"Ham, pork, boiled",Per 100 g,168.0,32.2,3.6,1.7,0.0,79.0,100,TH
925F84,"Ham, pork, fried",Per 100 g,262.0,35.8,13.2,0.0,0.0,81.0,100,TH
926G1,"Fish, maw, dried",Per 100 g,278.0,64.1,0.5,4.4,0.0,0.0,100,TH
927G2,"Fish, maw, dried, fried",Per 100 g,682.0,38.3,58.8,0.0,0.0,0.0,100,TH
928G3,"Mantis shrimp, flesh, raw",Per 100 g,77.0,17.2,0.1,1.9,0.0,0.0,100,TH
929G13,"Mantis shrimp, raw",Per 100 g,65.0,13.6,1.0,0.0,0.3,0.0,100,TH
92B24,Arrowroot flour,Per 100 g,370.0,0.1,0.0,91.8,1.0,0.0,100,TH
930G11,"Shrimp, cooked, dried, gound",Per 100 g,257.0,51.1,2.1,8.4,0.0,0.0,100,TH
931G14,"Shrimp, small size, with shell, salted, dried",Per 100 g,242.0,47.1,3.1,6.4,0.0,5.2,100,TH
932G200,"Shrimp, without shell, salted, dried",Per 100 g,199.0,44.8,2.2,0.0,0.0,2.1,100,TH
933G4,"Prawn, giant freshwater, raw",Per 100 g,108.0,17.9,3.7,0.8,0.0,0.0,100,TH
934G201,"Prawn, giant freshwater, female, steamed",Per 100 g,117.0,22.8,2.6,0.5,0.0,114.0,100,TH
935G202,"Prawn, giant freshwater, female, grilled",Per 100 g,121.0,22.8,2.9,0.8,0.0,123.0,100,TH
936G203,"Prawn, giant freshwater, with eggs, grilled",Per 100 g,121.0,20.0,4.1,0.9,0.0,0.0,100,TH
937G204,"Prawn, giant freshwater, without eggs, grilled",Per 100 g,136.0,23.4,4.3,0.8,0.0,0.0,100,TH
938G6,"Prawn, giant tiger, flesh, raw",Per 100 g,92.0,20.1,1.3,0.0,0.0,0.0,100,TH
939G189,"Prawn, giant tiger, flesh, head part",Per 100 g,120.0,14.3,4.4,5.7,0.0,0.0,100,TH
93B5,"Tapioca, flour",Per 100 g,353.0,0.1,0.0,87.4,1.2,0.0,100,TH
940G190,"Prawn, giant tiger, flesh, boiled",Per 100 g,77.0,17.8,0.7,0.0,0.0,691.0,100,TH
941G9,"Prawn, black tiger, tail on, boiled",Per 100 g,78.0,17.8,0.7,0.0,0.0,691.0,100,TH
942G7,"Prawn, green tiger, raw",Per 100 g,0.0,0.0,0.0,0.0,0.0,181.0,100,TH
943G8,"Shrimp (sea water), tiny, raw",Per 100 g,61.0,12.0,1.0,1.1,0.0,0.0,100,TH
944G205,"Shrimp, Banana, boiled",Per 100 g,104.0,22.3,1.1,1.2,0.0,0.0,100,TH
945G12,"Shrimp, Lanchester's freshwater, raw",Per 100 g,64.0,12.4,0.9,1.5,0.0,0.0,100,TH
946G206,"Fish, cooked, dried, gound",Per 100 g,402.0,62.2,15.4,3.6,0.0,636.0,100,TH
947G15,"Catfish, truncated estuarine",Per 100 g,92.0,18.7,1.9,0.1,0.0,0.0,100,TH
