,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size,region
125N45,"Paste, shrimp, fermented (Ka-pi), second class quality",Per 100 g,119.0,9.9,0.5,18.4,0.0,0.0,100,TH
1260K30,"Oil, corn",Per 100 g,900.0,0.0,100.0,0.0,0.0,0.0,100,TH
1261K19,"Oil, corn, refined, per 100 mL",Per 100 g,833.0,0.0,92.6,0.0,0.0,0.0,100,TH
1262K31,"Oil, sesame seed, per 100 mL",Per 100 g,829.0,0.0,88.7,0.0,0.0,0.0,100,TH
1263K40,"Oil, peanut, per 100 mL",Per 100 g,769.0,0.0,85.4,0.0,0.0,0.0,100,TH
1264K41,"Oil, soybean",Per 100 g,900.0,0.0,100.0,0.0,0.0,0.0,100,TH
1265K20,"Oil, soybean, refined, per 100 mL",Per 100 g,817.0,0.0,90.8,0.0,0.0,0.0,100,TH
1266K35,"Oil, fish",Per 100 g,898.0,0.0,99.7,0.0,0.0,0.0,100,TH
1267K36,"Oil, tuna fish",Per 100 g,834.0,0.0,97.8,0.0,0.0,0.0,100,TH
1268K34,"Oil, palm olein",Per 100 g,900.0,0.0,100.0,0.0,0.0,0.0,100,TH
1269K21,"Oil, palm olein, refinded, per 100 mL",Per 100 g,829.0,0.0,91.3,0.0,0.0,0.0,100,TH
126N43,"Paste, shrimp, fermented (Ka-pi), first class quality",Per 100 g,120.0,20.9,0.9,6.7,0.0,6.0,100,TH
1270K37,"Oil, coconut oil, per 100 mL",Per 100 g,856.0,0.0,93.5,0.0,0.0,0.0,100,TH
1271K38,"Oil, camellia seed, per 100 mL",Per 100 g,797.0,0.0,88.4,0.0,0.0,0.0,100,TH
1272K39,"Oil, sunflower seed",Per 100 g,900.0,0.0,100.0,0.0,0.0,0.0,100,TH
1273K22,"Oil, sunflower, refined",Per 100 g,856.0,0.0,95.1,0.0,0.0,0.0,100,TH
1274K48,"Oil, palm kernel, refined",Per 100 g,871.0,0.0,96.8,0.0,0.0,0.0,100,TH
1275K42,"Oil, rice bran",Per 100 g,900.0,0.0,100.0,0.0,0.0,0.0,100,TH
1276K43,"Oil, rice bran, refined",Per 100 g,900.0,0.0,100.0,0.0,0.0,0.0,100,TH
1277K44,"Oil, evening primrose",Per 100 g,900.0,0.0,100.0,0.0,0.0,0.0,100,TH
1278K16,"Salad dressing, cream",Per 100 g,519.0,1.2,44.9,26.8,0.8,547.0,100,TH
1279K45,"Salad dressing, japanese sesame flavour",Per 100 g,262.0,2.4,15.0,28.2,2.0,882.0,100,TH
127N48,"Paste, shrimp, tiny, fermented (Ka-pi), first class quality",Per 100 g,109.0,22.0,0.7,3.4,0.0,0.0,100,TH
1280K46,"Salad dressing, japanese sauce flavour",Per 100 g,195.0,2.8,15.3,10.6,1.7,1.5,100,TH
1281K18,"Salad dressing, thousand island",Per 100 g,410.0,1.2,37.4,17.1,0.0,736.0,100,TH
1282K47,Shortening,Per 100 g,872.0,0.0,96.8,0.0,0.0,0.0,100,TH
1283K5,"Butter, pure creamery, salted",Per 100 g,757.0,0.6,83.6,0.0,0.0,503.0,100,TH
1284K7,"Butter, pure creamery, unsalted",Per 100 g,752.0,0.7,83.0,0.4,0.0,13.0,100,TH
1285K49,Butter Spread (Salted),Per 100 g,626.0,0.0,69.6,0.0,0.0,460.0,100,TH
1286K50,Butter Spread (Unsalted),Per 100 g,721.0,0.0,80.1,0.0,0.0,0.0,100,TH
1287K10,Margarine (vitamin A fortified),Per 100 g,804.0,0.4,89.1,0.0,0.0,620.0,100,TH
1288K11,"Margarine, all purposes",Per 100 g,723.0,0.4,80.1,0.0,0.0,455.0,100,TH
1289K14,Mayonnaise,Per 100 g,521.0,1.5,49.8,16.4,0.0,550.0,100,TH
128N49,"Paste, shrimp, tiny, fermented (Ka-pi), second class quality",Per 100 g,81.0,13.9,1.2,2.7,2.0,7.0,100,TH
1290M1,"Mashmello, chocolate filled",Per 100 g,438.0,6.3,13.5,72.9,0.0,74.0,100,TH
1291M5,"Sugar cane, brown",Per 100 g,386.0,0.8,0.1,95.4,0.0,21.0,100,TH
1292M6,"Sugar cane, paste",Per 100 g,364.0,0.1,0.0,90.8,0.0,48.0,100,TH
1293M7,"Sugar coconut, paste, mixed",Per 100 g,376.0,0.1,0.0,93.8,0.0,55.0,100,TH
1294M8,"Sugar, coconut",Per 100 g,356.0,0.9,0.1,87.7,0.2,154.0,100,TH
1295M10,Glucose syrup,Per 100 g,374.0,0.0,0.0,94.0,0.0,0.0,100,TH
1296M2,"Candy, blueberry flavoured",Per 100 g,192.0,0.0,0.0,48.0,0.0,0.0,100,TH
1297M11,"Sherbet ice cream, different flavours",Per 100 g,130.0,1.2,2.9,23.9,1.0,22.0,100,TH
1298Q35,"Coffee, mixed 3 in 1, instant, powder",Per 100 g,389.0,9.0,6.4,71.3,4.5,155.0,100,TH
1299Q38,"Beverage, soybean, milk, with white malt",Per 100 g,424.0,11.1,11.4,69.0,0.0,0.0,100,TH
129N47,"Paste, fish, fermented (Ka-pi-pla), second class quality",Per 100 g,62.0,2.7,0.5,9.1,5.2,16.0,100,TH
12A124,"Barley, raw",Per 100 g,335.0,8.3,0.7,69.1,9.4,0.0,100,TH
1300Q37,"Beverage, soybean, milk, with chocolate and malt",Per 100 g,433.0,11.0,11.8,70.5,0.0,0.0,100,TH
1301Q6,"Energy drink, chocolate flavoured, powder",Per 100 g,400.0,12.0,6.1,74.1,0.0,0.0,100,TH
1302Q40,"Tea, with milk, per 100 mL",Per 100 g,40.0,1.6,1.1,5.7,0.0,0.0,100,TH
1303Q10,"Soybean, milk, UHT, per 100 mL",Per 100 g,79.0,2.9,3.3,8.9,0.7,35.0,100,TH
1304Q11,"Drink, roselle, per 100 mL",Per 100 g,60.0,0.0,0.0,14.9,0.1,231.0,100,TH
1305Q43,"Drink, chrysanthemum, per 100 mL",Per 100 g,42.0,0.0,0.0,10.5,0.0,11.0,100,TH
1306Q44,"Drink, ginger, per 100 mL",Per 100 g,28.0,0.0,0.0,7.0,0.0,0.0,100,TH
1307Q45,"Dink, grass jelly",Per 100 g,27.0,0.0,0.0,6.7,0.0,8.0,100,TH
1308Q46,"Juice, palm, per 100 mL",Per 100 g,77.0,0.2,0.0,18.9,0.0,0.0,100,TH
1309Q49,"Corn, milk, per 100 mL",Per 100 g,45.0,1.0,0.7,8.0,0.7,28.0,100,TH
130N156,"Soup, instant, different flavour",Per 100 g,392.0,8.6,15.1,55.3,0.0,3.7,100,TH
1310Q47,"Juice, guava, 100%, per 100 mL",Per 100 g,57.0,0.1,0.0,14.2,0.0,86.0,100,TH
1311Q48,"Juice, guava, 25%, per 100 mL",Per 100 g,37.0,0.1,0.0,9.2,0.0,110.0,100,TH
1312Q18,"Juice, tomato, per 100 mL",Per 100 g,34.0,0.6,0.2,7.0,0.7,190.0,100,TH
1313Q20,"Juice, coconut, per 100 mL",Per 100 g,28.0,0.0,0.1,6.6,0.1,19.0,100,TH
1314Q50,"Juice, mango, per 100 mL",Per 100 g,50.0,0.2,0.2,11.7,0.3,136.0,100,TH
1315Q51,"Juice, mangoteen, per 100 mL",Per 100 g,65.0,0.3,0.0,15.5,0.4,14.0,100,TH
1316Q52,"Drink, lotus root, per 100 mL",Per 100 g,37.0,0.0,0.0,9.3,0.0,13.0,100,TH
1317Q24,"Juice, lychee, 25%, per 100 mL",Per 100 g,53.0,0.1,0.0,12.9,0.0,12.0,100,TH
1318Q25,"Drink, aloe vera, canned, per 100 mL",Per 100 g,49.0,0.0,0.6,10.6,0.2,22.0,100,TH
1319Q54,"Juice, strawbery, 25%, per 100 mL",Per 100 g,43.0,0.0,0.0,10.5,0.2,34.0,100,TH
131N126,"Sauce, seasoning (protein<10 g) per 100 mL",Per 100 g,152.0,5.4,0.0,32.5,0.0,6.3,100,TH
1320Q27,"Juice, orange, 100%, per 100 mL",Per 100 g,57.0,0.6,0.0,13.2,0.4,14.0,100,TH
1321Q57,"Juice, orange, 15%, per 100 mL",Per 100 g,70.0,0.1,0.0,17.1,0.2,20.0,100,TH
1322Q56,"Juice, orange, 25%, per 100 mL",Per 100 g,39.0,0.1,0.0,9.3,0.4,28.0,100,TH
1323Q55,"Juice, pineapple, per 100 mL",Per 100 g,71.0,0.3,0.0,17.1,0.7,17.0,100,TH
1324Q31,"Juice, passion fruit, 25%, per 100 mL",Per 100 g,59.0,0.2,0.0,14.3,0.1,11.0,100,TH
1325Q34,"Juice, grape, 100%, per 100 mL",Per 100 g,69.0,0.2,0.0,16.9,0.0,14.0,100,TH
1326Q59,"Juice, grape, 25%, per 100 mL",Per 100 g,51.0,0.0,0.0,12.7,0.2,22.0,100,TH
1327S6,"Sandwiches, chicken",Per 100 g,271.0,12.2,14.3,22.4,1.6,372.0,100,TH
1328S7,"Sandwiches, fish",Per 100 g,294.0,10.4,15.8,27.4,0.0,0.0,100,TH
1329S30,"Doughnut, stawbery jam, filled",Per 100 g,346.0,5.7,14.5,47.9,0.0,0.0,100,TH
132N51,"Sauce, seasoning (protein>10 g), per 100 mL",Per 100 g,56.0,13.6,0.1,2.1,0.0,8.2,100,TH
1330S14,"Doughnut, honey dip",Per 100 g,384.0,6.5,18.6,47.5,0.0,0.0,100,TH
1331S22,"Burger, bacon with double cheese",Per 100 g,309.0,16.4,18.6,18.9,0.0,0.0,100,TH
1332S25,"Pizza, super supreme",Per 100 g,255.0,12.9,9.5,29.1,0.0,587.0,100,TH
1333S27,"Pizza, seafood, thin crust",Per 100 g,232.0,15.1,7.9,23.3,3.4,0.0,100,TH
1334S28,"Pizza, seafood, thick crust",Per 100 g,251.0,14.0,7.1,32.6,0.0,0.0,100,TH
1335S31,"Pizza, different topping",Per 100 g,243.0,11.8,9.3,26.9,2.1,487.0,100,TH
1336S36,"Pizza, Hawaiian, thick crust",Per 100 g,245.0,12.8,8.1,30.2,0.0,0.0,100,TH
1337S37,French fries,Per 100 g,345.0,4.1,19.2,36.1,5.3,339.0,100,TH
1338S32,Roti,Per 100 g,359.0,7.3,13.3,52.3,0.0,334.0,100,TH
1339S33,"Bun, rotiboy",Per 100 g,424.0,8.2,20.4,51.7,0.0,0.0,100,TH
133N127,"Sauce, Thai style noodle (Pad-thai)",Per 100 g,222.0,2.7,7.2,32.7,7.3,1.0,100,TH
1340S38,Hot dog,Per 100 g,269.0,10.2,13.1,26.1,2.7,798.0,100,TH
1341S34,"Hamburger, chicken",Per 100 g,294.0,13.2,15.9,23.0,2.3,515.0,100,TH
1342S35,"Hamburger, beef",Per 100 g,254.0,12.5,12.7,21.4,1.4,442.0,100,TH
1343T284,"Frog, fried, spicy",Per 100 g,510.0,30.8,31.3,26.4,0.0,0.0,100,TH
1344T174,"Kra-pao-gai (Chicken, stir fried with chilli and basil, Thai style)",Per 100 g,155.0,21.9,6.7,1.0,1.2,314.0,100,TH
1345T182,"Kurma curry, with coconut milk",Per 100 g,216.0,10.8,15.2,8.2,1.4,360.0,100,TH
1346T181,"Kurma curry, chicken",Per 100 g,119.0,13.4,5.6,3.8,0.0,491.0,100,TH
1347T183,"Kurma curry, without coconut milk",Per 100 g,155.0,11.2,7.9,8.4,2.3,360.0,100,TH
1348T17,"Curry, yellow (Kari), prawn/fish/squid, canned",Per 100 g,137.0,5.2,10.3,5.3,0.8,404.0,100,TH
1349T179,"Curry, yellow (Kari), chicken",Per 100 g,117.0,9.2,5.6,6.5,1.5,368.0,100,TH
134N54,"Sauce, hot chilli",Per 100 g,110.0,0.8,0.7,25.1,0.0,1.2,100,TH
1350T18,"Curry, yellow (Kari), beef/chicken, canned",Per 100 g,138.0,8.6,7.9,7.3,1.2,552.0,100,TH
1351T180,"Curry, yellow (Kari), beef",Per 100 g,173.0,15.2,7.9,10.2,0.0,552.0,100,TH
1352T286,"Curry, young jackfruit",Per 100 g,62.0,3.4,3.9,3.4,0.0,0.0,100,TH
1353T287,"Curry, cassia leaves and flowers",Per 100 g,125.0,4.1,10.9,2.4,0.0,0.0,100,TH
1354T184,"Curry, green, chicken",Per 100 g,101.0,7.9,6.0,3.0,1.4,420.0,100,TH
1355T20,"Curry, green, chicken/beef, canned",Per 100 g,137.0,8.4,8.0,7.3,0.8,657.0,100,TH
1356T185,"Curry, green, fish ball",Per 100 g,107.0,5.1,7.1,4.8,1.6,417.0,100,TH
1357T285,"Curry, green, pork",Per 100 g,93.0,6.3,6.2,2.9,0.0,0.0,100,TH
1358T186,"Soup, chicken, with onion, potato and tomato",Per 100 g,41.0,6.4,0.7,1.6,0.9,291.0,100,TH
1359T288,"Curry, fermented fish viscera, southern style",Per 100 g,46.0,4.7,1.1,4.3,0.0,0.0,100,TH
135N128,"Sauce, black pepper",Per 100 g,154.0,4.5,0.0,33.8,0.0,2.2,100,TH
1360T289,"Curry, Gaeng-bon",Per 100 g,39.0,1.6,0.3,7.5,0.0,0.0,100,TH
1361T290,"Curry, pumpkin with pork",Per 100 g,47.0,5.6,0.8,3.3,1.9,214.0,100,TH
1362T187,"Curry, red, chicken",Per 100 g,168.0,9.2,12.4,3.6,2.4,384.0,100,TH
1363T26,"Curry, red, chicken/beef, canned",Per 100 g,141.0,9.4,8.6,5.3,1.9,622.0,100,TH
1364T28,"Curry, Pha-naeng, chicken/beef, canned",Per 100 g,150.0,13.4,8.0,5.3,1.0,504.0,100,TH
1365T188,"Curry, Pha-naeng, chicken/pork",Per 100 g,204.0,14.7,13.2,5.8,1.3,326.0,100,TH
1366T189,"Curry, Mat-sa-man, chicken",Per 100 g,194.0,10.2,10.9,12.6,1.7,313.0,100,TH
1367T32,"Curry, Mat-sa-man, beef/chicken, canned",Per 100 g,140.0,8.4,6.9,10.4,1.2,616.0,100,TH
1368T190,"Curry, Mat-sa-man, beef",Per 100 g,199.0,14.5,8.7,15.5,0.0,649.0,100,TH
1369T191,"Soup,tamarind, mixed vegetables",Per 100 g,31.0,2.5,0.1,3.9,1.9,300.0,100,TH
136N129,"Sauce, tomato and chilli, mixed",Per 100 g,156.0,0.8,0.0,37.2,2.2,1.9,100,TH
1370T291,Gaeng-moo-chamoung,Per 100 g,197.0,10.3,6.5,24.4,0.0,0.0,100,TH
1371T292,"Curry, river snail, central style",Per 100 g,130.0,5.5,10.0,4.4,0.0,0.0,100,TH
1372T293,"Curry, river snail, northeastern style",Per 100 g,45.0,5.4,0.3,5.1,0.0,0.0,100,TH
1373T192,"Soup, spicy, yellow (turmeric), with chicken, southern style (Gaeng luang)",Per 100 g,46.0,5.6,1.1,2.5,1.6,417.0,100,TH
1374T294,"Soup, spicy, yellow (turmeric), with fish, southern style",Per 100 g,44.0,7.8,0.1,2.9,0.0,0.0,100,TH
1375T295,"Soup, spicy (Gaeng Oom) with beef, northen style",Per 100 g,55.0,3.5,3.6,2.1,0.0,0.0,100,TH
1376T296,"Soup, spicy (Gaeng Oom) with fish, northen style",Per 100 g,53.0,4.7,3.8,0.0,0.0,0.0,100,TH
1377T297,"Curry, Hung-le, northern style",Per 100 g,215.0,11.1,16.0,5.3,2.8,0.0,100,TH
1378T298,"Stink bean fried with chilli paste, chicken",Per 100 g,123.0,21.6,2.4,3.1,1.5,649.0,100,TH
1379T193,"Chicken, baked, with sauce",Per 100 g,127.0,8.5,4.3,12.0,2.4,397.0,100,TH
137N58,"Sauce, tomato (ketchup)",Per 100 g,126.0,2.0,0.0,29.0,1.0,822.0,100,TH
1380T69,Spaghetti sauce,Per 100 g,101.0,4.1,4.9,9.6,0.7,642.0,100,TH
1381T71,"Soup, wax gourd",Per 100 g,10.0,2.5,0.0,0.0,0.0,0.0,100,TH
1382T299,"Soup, Brinjal eggplants",Per 100 g,63.0,7.6,2.1,1.9,2.8,307.0,100,TH
1383T73,"Bamboo shoot salad, northeastern style",Per 100 g,33.0,2.8,0.5,4.3,0.0,0.0,100,TH
1384T210,"Soup, beef tail",Per 100 g,85.0,8.4,3.6,4.7,0.0,379.0,100,TH
1385T74,"Soup, shark fin",Per 100 g,31.0,5.3,0.1,1.7,0.3,226.0,100,TH
1386T300,"Soup, Roselle leaves, chicken",Per 100 g,49.0,9.5,0.5,1.1,1.1,103.0,100,TH
1387T211,"Soup, coconut milk with galangal, chicken (Tom-kha-gai)",Per 100 g,92.0,7.8,5.8,1.4,0.9,244.0,100,TH
1388T226,"Five spices soup, mixed",Per 100 g,133.0,8.9,4.2,14.1,1.6,416.0,100,TH
1389T212,"Soup, spicy (hot and sour), shrimp (Tom-yum-goong)",Per 100 g,44.0,4.6,1.4,2.8,0.7,521.0,100,TH
138N130,"Sauce, tomato and carrot, mixed",Per 100 g,116.0,1.9,9.4,5.0,1.9,810.0,100,TH
1390T213,"Soup, spicy (hot and sour), chicken (Tom-yum-gai)",Per 100 g,41.0,8.2,0.3,0.5,1.3,230.0,100,TH
1391T301,"Soup, spicy ( hot and sour) with catfish",Per 100 g,57.0,7.6,2.2,1.1,1.1,143.0,100,TH
1392T215,"Fried shrimp cake, (Tod-man-goong)",Per 100 g,247.0,14.8,16.7,9.1,0.0,473.0,100,TH
1393T214,Fried fish cake (Tod-man-pla),Per 100 g,174.0,14.3,9.8,4.8,4.1,516.0,100,TH
1394T217,"Soup, chicken bone",Per 100 g,23.0,0.7,1.5,1.6,0.0,31.0,100,TH
1395T216,"Soup, pork leg (without feet)",Per 100 g,5.0,0.7,0.2,0.0,0.0,39.0,100,TH
1396T303,Nam-prik-ong,Per 100 g,204.0,6.9,19.6,0.0,4.1,0.0,100,TH
1397T302,"Beef, satay",Per 100 g,345.0,16.4,22.6,18.8,0.0,223.0,100,TH
1398T304,"Duck, tongue, stewed in chineses herb gravy/fried, special flavour topping",Per 100 g,155.0,8.4,10.6,6.5,0.0,634.0,100,TH
1399T305,"Duck, intestine, deep fried",Per 100 g,529.0,60.2,31.2,1.9,0.0,1.6,100,TH
139N131,"Sauce, mango",Per 100 g,127.0,0.5,0.1,30.6,0.8,1.2,100,TH
13A28,"Corn, whole kernel, waxy or sticky variety, boiled",Per 100 g,161.0,4.6,4.0,24.8,3.7,0.0,100,TH
1400T222,"Sweet and sour sauce, stir fried, chicken (Pad-priew-wan-gai)",Per 100 g,95.0,4.4,1.8,14.1,1.9,345.0,100,TH
1401T224,"Stir-fried, chicken with red curry paste",Per 100 g,133.0,13.7,5.5,4.3,5.5,408.0,100,TH
1402T223,"Stir-fried, long bean with red curry paste",Per 100 g,127.0,21.3,2.7,2.8,3.0,563.0,100,TH
1403T225,stir-fried long bean with red chilli paste and chicken (Pad-prik-king-gai),Per 100 g,130.0,10.5,7.1,2.7,6.8,378.0,100,TH
1404T227,"Thai salad, spicy, mixed seafood",Per 100 g,82.0,9.7,1.2,7.5,0.9,649.0,100,TH
1405T100,"Beef-blood salad, northeastern style",Per 100 g,99.0,15.7,1.2,6.4,0.0,0.0,100,TH
1406T101,"Meat salad, Northeastern style (Lab-nhua)",Per 100 g,122.0,12.4,4.3,7.8,0.0,0.0,100,TH
1407T228,Chicken stew,Per 100 g,122.0,17.4,4.4,3.1,0.0,570.0,100,TH
1408T229,Beef stew,Per 100 g,135.0,13.3,4.4,10.4,0.0,432.0,100,TH
1409T283,Tuna steak,Per 100 g,180.0,13.8,10.3,5.6,4.4,504.0,100,TH
140N60,"Sauce, oyster",Per 100 g,61.0,2.6,0.0,11.9,0.8,3.0,100,TH
1410T230,Spaghetti with different sauces,Per 100 g,105.0,4.2,4.9,9.7,2.4,656.0,100,TH
1411T231,"Papaya salad, spicy, with dried shrimps and roasted peanuts (Som-tum Thai)",Per 100 g,105.0,4.2,2.6,14.3,3.3,627.0,100,TH
1412T102,Papaya salad with crab and dried shrimps (Som-tum Poo-goong),Per 100 g,85.0,3.7,2.1,12.8,0.0,0.0,100,TH
1413T103,"Papaya salad, northeastern style (Som-tum-Isan)",Per 100 g,28.0,1.8,0.3,4.5,0.0,0.0,100,TH
1414T307,"Duck, intestines, stewed in chineses herb gravy",Per 100 g,245.0,21.5,17.6,0.0,0.0,378.0,100,TH
1415T131,"Mee-krop (Rice noodles, deep fried, crispy)",Per 100 g,505.0,2.9,29.4,57.1,0.0,0.0,100,TH
1416T308,"Pork, trotter, stewed in chinese herb gravy",Per 100 g,276.0,25.8,15.4,8.6,0.0,456.0,100,TH
1417T309,"Pork, satay",Per 100 g,272.0,20.0,14.5,15.0,0.0,342.0,100,TH
1418T306,"Chicken/crab, roll, deep-fried",Per 100 g,288.0,15.9,20.1,9.7,2.2,429.0,100,TH
1419T2,Fish maw soup,Per 100 g,56.0,5.0,2.9,1.8,0.9,296.0,100,TH
141N132,"Sauce, oyster and galic, mixed",Per 100 g,82.0,3.1,0.0,17.3,0.0,1.7,100,TH
1420T3,"Noodle sheets, soup with meat and tofu (Guay-jub)",Per 100 g,84.0,4.5,3.6,8.1,0.0,360.0,100,TH
1421T7,"Rice noodles, topped with minced beef in gravy",Per 100 g,112.0,3.5,4.1,15.2,0.0,0.0,100,TH
1422T8,"Rice noodles, fried with pork/chicken and spices (Guay-teaw pad-khee-mow)",Per 100 g,216.0,19.5,9.8,12.5,0.0,702.0,100,TH
1423T9,"Rice noodles, stir fried, Thai style (Guay-teaw pad-thai)",Per 100 g,171.0,6.8,6.3,20.6,2.0,445.0,100,TH
1424T6,Rice noodles with beef curry Guay-teaw khak),Per 100 g,131.0,6.6,7.4,9.4,0.0,0.0,100,TH
1425T176,Guay-teaw sen-pla,Per 100 g,70.0,12.8,0.7,2.4,0.9,228.0,100,TH
1426T10,"Yen-ta-fo (Rice noodles, with fish ball, swamp cabbage red sauce and soup)",Per 100 g,70.0,3.0,2.6,8.2,0.4,239.0,100,TH
1427T11,"Guay-teaw-pad see-eiw (Rice noodles, fried with pork, kale, egg and dark soy sauce)",Per 100 g,221.0,6.8,12.3,20.7,0.0,382.0,100,TH
1428T12,"Guay-teaw-rad-nah, goong (Fried rice noodles with dark soy sauce, topped with fried chinese kale, shrimps and gravy)",Per 100 g,84.0,2.4,2.7,12.4,0.0,202.0,100,TH
1429T13,"Guay-teaw-rad-nah (Fried rice noodles with dark soy sauce, topped with fried chinese kale, chicken/pork and gravy)",Per 100 g,111.0,2.9,5.5,12.3,0.0,0.0,100,TH
142N133,"Sauce, oyster, low sodium and sugar",Per 100 g,81.0,1.8,0.0,18.4,0.0,1.4,100,TH
1430T173,"Kebab, beef",Per 100 g,183.0,25.5,4.2,9.2,2.9,566.0,100,TH
1431T177,Giew-goong (Shrimp Wonton Soup),Per 100 g,128.0,7.0,4.4,14.7,0.7,422.0,100,TH
1432T178,"Giew-pla (Fish dumplings, boiled)",Per 100 g,149.0,13.3,7.1,7.5,0.8,356.0,100,TH
1433T36,"Ka-nom-jeen-sow-nam (Fermented rice noodles, with pineapple, ground shrimp, garlic and coconut milk)",Per 100 g,120.0,2.5,4.6,17.1,0.0,213.0,100,TH
1434T37,"Ka-nom-jeen-nam-ngeaw (Fermented rice noodles, with minced pork/ beef/spareribs cooked in Thai herbs flavour soup)",Per 100 g,79.0,4.0,3.5,7.4,0.5,310.0,100,TH
1435T38,"Ka-nom-jeen-nam-prik (Fermented rice noodles, topped with peanut curry)",Per 100 g,137.0,3.1,4.6,20.7,0.0,180.0,100,TH
1436T39,"Ka-nom-jeen-nam-ya (Fermented rice noodles, topped with fish curry)",Per 100 g,82.0,2.6,2.1,12.9,0.4,419.0,100,TH
1437T40,"Ka-nom-jeen-nam-ya pak-tai (Fermented rice noodles, topped with fish curry (without coconut milk), Southern style)",Per 100 g,85.0,3.9,3.0,10.7,0.0,346.0,100,TH
1438T41,"Ka-nom-pak-kad (Radish rice cake, fried with egg and mungbean sprout)",Per 100 g,200.0,5.5,8.4,25.4,0.0,0.0,100,TH
1439T194,Brown rice and country style chicken red curry (without coconut milk),Per 100 g,103.0,4.7,1.6,16.1,2.2,290.0,100,TH
143N136,"Sauce, soy, light, no grade specified, per 100 mL",Per 100 g,38.0,4.2,0.0,5.1,0.0,8.7,100,TH
1440T195,Brown rice and chicken red curry,Per 100 g,132.0,5.2,3.7,18.4,1.9,208.0,100,TH
1441T196,Brown rice and country style fish yellow curry,Per 100 g,92.0,4.9,0.9,15.1,1.3,236.0,100,TH
1442T197,Brown rice and basil pork fried spicy style,Per 100 g,129.0,6.6,3.0,17.4,2.4,226.0,100,TH
1443T200,"Brown rice, purple red,and chicken green curry",Per 100 g,129.0,5.6,3.9,17.2,1.3,255.0,100,TH
1444T199,"Brown rice, purple red, and basil chicken fried",Per 100 g,142.0,7.5,1.8,22.7,2.2,138.0,100,TH
1445T201,Fried brown rice with shrimp,Per 100 g,162.0,8.1,4.5,21.0,2.5,220.0,100,TH
1446T198,Brown rice and fried galic pork,Per 100 g,141.0,9.0,3.1,17.6,2.9,165.0,100,TH
1447T48,"Rice, topped with pork leg stew in gravy)",Per 100 g,161.0,7.1,5.9,19.3,1.0,324.0,100,TH
1448T310,Northern Thai noodle with chicken curry soup,Per 100 g,151.0,5.8,10.6,7.3,1.6,0.0,100,TH
1449T51,Porridge rice with pork,Per 100 g,65.0,4.1,1.0,9.5,0.0,226.0,100,TH
144N134,"Sauce, soy, light, formula 1, per 100 mL",Per 100 g,32.0,4.1,0.0,3.8,0.0,6.5,100,TH
1450T205,"Fried rice, not specified",Per 100 g,160.0,4.5,4.1,24.2,1.8,335.0,100,TH
1451T204,"Fried rice, with vegetables",Per 100 g,178.0,3.6,5.1,28.5,1.7,268.0,100,TH
1452T56,"Fried rice with pork, vegetable and egg",Per 100 g,144.0,5.7,6.3,15.9,0.0,141.0,100,TH
1453T59,"Khao-mun-kai-tom (rice cooked in chicken broth, topped with boiled chicken)",Per 100 g,198.0,6.7,9.2,21.2,1.5,0.0,100,TH
1454T206,"Khao-mun-kai-tod (rice cooked in chicken broth, topped with deep-fried chicken)",Per 100 g,235.0,8.6,7.2,32.9,2.2,330.0,100,TH
1455T397,Khao-mun (Rice cooked in chicken broth),Per 100 g,179.0,3.0,3.4,33.5,0.6,217.0,100,TH
1456T60,Khao-yum-pak-tai (Southern style rice salad: Rice with assorted vegetables served with southern fish sauce (Nam boo-doo)),Per 100 g,133.0,3.8,3.5,20.9,1.1,474.0,100,TH
1457T46,Khao-rad-kaeng-kheaw-whan-kai (Rice+ green curry with chicken),Per 100 g,142.0,6.5,4.0,19.1,1.2,0.0,100,TH
1458T43,Rice and beef matsaman curry,Per 100 g,128.0,6.9,2.5,19.5,0.0,247.0,100,TH
1459T54,Rice and stir fried chicken with holy basil leaves,Per 100 g,188.0,8.6,6.5,23.6,0.0,0.0,100,TH
145N62,"Sauce, soy, light, formula 2, per 100 mL",Per 100 g,47.0,3.7,0.0,7.7,0.0,7.9,100,TH
1460T44,Rice topped with egg in five spices soup,Per 100 g,156.0,5.6,6.4,16.1,5.3,305.0,100,TH
1461T45,Rice with stir-fried chicken organ and ginger,Per 100 g,176.0,4.4,7.3,23.2,0.0,0.0,100,TH
1462T207,"Rice, topped with roasted duck)",Per 100 g,129.0,5.2,4.2,16.7,1.9,320.0,100,TH
1463T63,Rice cooked with curry powder and a piece of chicken breast or drumstick,Per 100 g,183.0,7.3,6.0,24.3,1.0,221.0,100,TH
1464T208,Rice cooked with curry powder,Per 100 g,176.0,3.3,3.1,33.5,0.0,259.0,100,TH
1465T64,Rice with roasted pork and gravy,Per 100 g,154.0,6.2,4.1,22.7,0.2,284.0,100,TH
1466T65,Rice with fried seasoning pork,Per 100 g,144.0,7.7,3.2,21.0,0.0,222.0,100,TH
1467T68,Porridge rice with minced pork,Per 100 g,57.0,1.5,2.6,6.8,0.0,0.0,100,TH
1468T311,Thai noodle salad (Tao Khao),Per 100 g,163.0,3.9,5.8,23.8,0.0,0.0,100,TH
1469T220,Zongzi (Pyramid-shaped dumplings made by wrapping glutinous rice in bamboo leaves/reed leaves ),Per 100 g,228.0,7.6,6.8,33.9,0.0,388.0,100,TH
